inference-1  | 2026-03-01 04:52:59,919 INFO 172.18.0.4 - - [01/Mar/2026 04:52:59] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:00,213 INFO 127.0.0.1 - - [01/Mar/2026 04:53:00] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:04,920 INFO 172.18.0.4 - - [01/Mar/2026 04:53:04] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:05,325 INFO 127.0.0.1 - - [01/Mar/2026 04:53:05] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:09,919 INFO 172.18.0.4 - - [01/Mar/2026 04:53:09] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:10,455 INFO 127.0.0.1 - - [01/Mar/2026 04:53:10] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:14,919 INFO 172.18.0.4 - - [01/Mar/2026 04:53:14] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:15,591 INFO 127.0.0.1 - - [01/Mar/2026 04:53:15] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:19,919 INFO 172.18.0.4 - - [01/Mar/2026 04:53:19] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:20,712 INFO 127.0.0.1 - - [01/Mar/2026 04:53:20] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:24,920 INFO 172.18.0.4 - - [01/Mar/2026 04:53:24] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:25,854 INFO 127.0.0.1 - - [01/Mar/2026 04:53:25] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:29,919 INFO 172.18.0.4 - - [01/Mar/2026 04:53:29] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:30,983 INFO 127.0.0.1 - - [01/Mar/2026 04:53:30] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:34,919 INFO 172.18.0.4 - - [01/Mar/2026 04:53:34] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:36,179 INFO 127.0.0.1 - - [01/Mar/2026 04:53:36] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:39,919 INFO 172.18.0.4 - - [01/Mar/2026 04:53:39] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:41,330 INFO 127.0.0.1 - - [01/Mar/2026 04:53:41] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:44,920 INFO 172.18.0.4 - - [01/Mar/2026 04:53:44] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:46,455 INFO 127.0.0.1 - - [01/Mar/2026 04:53:46] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:49,919 INFO 172.18.0.4 - - [01/Mar/2026 04:53:49] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:51,583 INFO 127.0.0.1 - - [01/Mar/2026 04:53:51] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:54,919 INFO 172.18.0.4 - - [01/Mar/2026 04:53:54] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:56,708 INFO 127.0.0.1 - - [01/Mar/2026 04:53:56] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:53:59,920 INFO 172.18.0.4 - - [01/Mar/2026 04:53:59] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:01,835 INFO 127.0.0.1 - - [01/Mar/2026 04:54:01] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:04,920 INFO 172.18.0.4 - - [01/Mar/2026 04:54:04] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:06,964 INFO 127.0.0.1 - - [01/Mar/2026 04:54:06] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:09,920 INFO 172.18.0.4 - - [01/Mar/2026 04:54:09] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:12,168 INFO 127.0.0.1 - - [01/Mar/2026 04:54:12] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:14,919 INFO 172.18.0.4 - - [01/Mar/2026 04:54:14] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:17,307 INFO 127.0.0.1 - - [01/Mar/2026 04:54:17] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:19,920 INFO 172.18.0.4 - - [01/Mar/2026 04:54:19] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:22,508 INFO 127.0.0.1 - - [01/Mar/2026 04:54:22] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:24,920 INFO 172.18.0.4 - - [01/Mar/2026 04:54:24] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:27,780 INFO 127.0.0.1 - - [01/Mar/2026 04:54:27] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:29,921 INFO 172.18.0.4 - - [01/Mar/2026 04:54:29] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:32,954 INFO 127.0.0.1 - - [01/Mar/2026 04:54:32] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:34,921 INFO 172.18.0.4 - - [01/Mar/2026 04:54:34] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:38,125 INFO 127.0.0.1 - - [01/Mar/2026 04:54:38] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:39,922 INFO 172.18.0.4 - - [01/Mar/2026 04:54:39] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:43,290 INFO 127.0.0.1 - - [01/Mar/2026 04:54:43] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:44,921 INFO 172.18.0.4 - - [01/Mar/2026 04:54:44] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:48,468 INFO 127.0.0.1 - - [01/Mar/2026 04:54:48] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:49,921 INFO 172.18.0.4 - - [01/Mar/2026 04:54:49] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:53,630 INFO 127.0.0.1 - - [01/Mar/2026 04:54:53] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:54,919 INFO 172.18.0.4 - - [01/Mar/2026 04:54:54] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:58,788 INFO 127.0.0.1 - - [01/Mar/2026 04:54:58] "GET /healthz HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:54:59,920 INFO 172.18.0.4 - - [01/Mar/2026 04:54:59] "GET /metrics HTTP/1.1" 200 -
inference-1  | 2026-03-01 04:55:03,939 INFO 127.0.0.1 - - [01/Mar/2026 04:55:03] "GET /healthz HTTP/1.1" 200 -
